timestamp,building_id,room_id,temperature_c,humidity_percent,energy_usage_kwh,water_usage_liters,occupancy_count,device_status,maintenance_issue_type,maintenance_frequency,maintenance_resolution_time,resident_feedback_score,complaint_count,predicted_energy_usage,predicted_maintenance_need,predicted_resident_satisfaction,recommended_action
30-05-2024 07:03,B2,R3,25,62.2,48,63,2,On,None,5,17.3,4,3,45.3992823,5.881157966,4.47483673,Adjust Temperature
18-07-2024 14:04,B3,R8,22.5,44.2,47,161.6,3,On,None,3,15.1,1.5,1,47.48447259,3.484495702,1.730652042,Adjust Temperature
30-03-2024 15:55,B3,R9,27.8,33.9,13.8,330.2,4,On,HVAC,1,17.6,4.4,1,14.68345577,0.838978496,4.205837307,Increase Maintenance
12-04-2024 17:25,B1,R8,22.4,39.8,38.5,274.1,5,Malfunction,None,4,14.6,2.5,2,39.5023904,4.37800174,2.709528134,Monitor Device
03-03-2024 22:00,B1,R2,19.6,38.3,25,99.9,2,On,Electrical,1,4.2,4.3,3,22.80719226,0.897036512,4.851141561,Increase Maintenance
18-04-2024 10:01,B1,R6,27.4,49.4,48.2,317.6,3,Malfunction,None,2,11.6,3.2,3,45.63537047,1.866996831,3.802620407,Adjust Temperature
07-08-2024 10:41,B1,R7,24.6,69.7,39,193.6,2,On,Plumbing,0,24,2.6,3,36.99118399,0,2.184752392,Adjust Temperature
30-06-2024 01:02,B1,R2,18,37.3,42.2,411,1,Off,None,5,10.8,4.3,0,38.84609971,4.136267731,3.919148066,Increase Maintenance
03-05-2024 06:56,B2,R3,22.1,58.9,20.4,64.7,2,Off,None,5,8,4.6,2,19.23619294,5.876435149,4.679418549,Increase Maintenance
17-07-2024 04:32,B1,R1,22.7,32.8,39.3,230.9,3,On,Electrical,1,17.4,4.9,3,42.19916643,0.868141533,4.328696134,Monitor Device
21-04-2024 15:19,B1,R1,21.1,69.4,39.5,195,1,Off,None,4,21.2,4.3,2,37.53843679,3.841441504,3.736822786,Adjust Temperature
14-03-2024 14:28,B3,R5,25.2,47.3,46.7,271.9,3,On,HVAC,0,8.7,2.2,0,45.11394112,0,1.935003768,Adjust Temperature
06-07-2024 17:10,B2,R3,26.7,64.1,14,477.6,2,On,HVAC,2,12.1,1.3,3,14.89601934,2.16673847,1.047550396,Monitor Device
13-01-2024 04:54,B2,R8,23.4,62.3,17.5,273.5,1,Malfunction,HVAC,2,6.1,2.4,3,19.2068288,2.047037603,2.753979798,Monitor Device
04-04-2024 04:24,B1,R4,28.4,60.1,46.6,422.9,4,Off,HVAC,4,6.6,2.1,1,50.36570515,3.665009068,1.699662429,Monitor Device
01-07-2024 05:36,B1,R5,27.9,65.3,42.8,301.3,0,On,Electrical,2,10.1,3.8,2,43.06654587,1.974227912,3.052033474,Monitor Device
06-08-2024 03:11,B3,R4,27.8,45.7,7.9,458.5,3,Off,None,4,15.5,2.5,2,7.809101665,4.612044021,2.28030448,Adjust Temperature
31-03-2024 04:36,B2,R1,21.2,64.3,11.2,173.7,3,On,Plumbing,4,6.2,4,3,11.82078911,3.528778994,4.225116613,No Action
29-06-2024 23:20,B2,R1,24.3,34.7,24.1,477.4,5,On,HVAC,4,14.4,3.4,2,23.98562195,4.199151866,4.07133986,Increase Maintenance
19-04-2024 21:24,B3,R9,22,37.6,8.4,387.4,3,On,HVAC,2,4.1,3.8,0,9.103361474,2.135390498,4.434814268,Monitor Device
09-07-2024 21:57,B1,R7,28.1,55.4,42.1,238.7,5,Off,Plumbing,5,17.7,1.5,2,42.31610125,4.794421965,1.605565155,Monitor Device
11-06-2024 05:01,B3,R4,22.4,58.4,32.4,179.5,4,Off,None,2,16.9,5,2,30.36674328,2.191367394,5.381735429,Increase Maintenance
09-01-2024 12:47,B2,R9,29.3,69.9,8.4,224.7,0,On,None,2,23.3,3.2,3,7.571646371,2.173075537,3.017044339,Adjust Temperature
19-03-2024 18:45,B3,R6,23.7,66.5,28.9,111.2,3,Off,Plumbing,3,5.5,2.8,0,26.77123067,3.444642213,2.660198195,Monitor Device
19-03-2024 13:27,B3,R4,22.9,42.1,38.9,189.7,1,Off,Electrical,1,19.6,4.9,0,40.65549097,1.096511057,5.548547033,Increase Maintenance
16-04-2024 18:34,B2,R3,29.2,50.2,45.9,177.4,1,Off,Electrical,4,11.1,2.8,3,48.064962,4.304582064,3.261965443,Monitor Device
21-07-2024 14:20,B3,R3,25.1,34.7,11.4,467.4,5,On,HVAC,4,7.4,1.6,2,11.98585365,4.723877934,1.440239386,Monitor Device
12-06-2024 22:49,B3,R5,24,45,29.2,414.2,2,Malfunction,None,2,1.6,1.9,2,29.52563664,2.239138467,2.101034028,No Action
21-03-2024 16:20,B1,R6,26.3,64,47.4,300.3,2,Off,None,3,23,1.9,3,44.4454427,3.3967301,1.989122227,Adjust Temperature
24-04-2024 07:27,B2,R5,29.4,48.8,37.8,157.5,3,On,None,0,12.3,4.4,3,40.56166661,0,4.380588752,Adjust Temperature
14-01-2024 19:51,B3,R2,24.7,46.3,41.4,339.6,2,On,Plumbing,0,4,1.3,3,45.1028902,0,1.48205866,Increase Maintenance
06-01-2024 02:42,B3,R6,28.5,42.8,35.4,462.8,0,Malfunction,HVAC,3,4.5,3.5,0,32.54922942,2.757626433,3.234690523,Adjust Temperature
11-01-2024 02:36,B1,R2,28.1,54.2,13,246.6,4,Malfunction,None,2,15.5,3,1,12.04899083,1.777914263,2.576643911,Adjust Temperature
02-04-2024 08:19,B1,R3,22.8,60.6,36.9,150.9,5,On,Plumbing,4,18.4,3.2,1,35.96843332,3.444044844,3.143765623,Adjust Temperature
02-01-2024 17:27,B1,R5,21.7,52.6,13.9,459.8,1,Malfunction,Electrical,0,7,1.3,0,13.13861407,0,1.542402093,Monitor Device
22-04-2024 05:45,B3,R7,23.8,63.3,24,230.1,0,Off,HVAC,4,5.8,2.1,1,23.53800871,4.202154394,2.318758762,Adjust Temperature
04-07-2024 10:42,B1,R7,23.3,42.8,38.7,431.4,1,Malfunction,Plumbing,5,23.8,2.4,1,40.42829245,5.737965469,2.495199359,Adjust Temperature
12-06-2024 20:17,B3,R3,24.1,47.5,26.4,99,2,On,Electrical,4,22.9,1.2,3,27.23896954,3.902779397,1.020820225,Monitor Device
11-05-2024 15:44,B1,R6,21.5,41.1,45.5,434,1,On,None,1,16.5,4.8,0,43.50238558,1.074726284,3.94231453,Adjust Temperature
25-06-2024 10:30,B2,R8,23,43.7,8.3,83.3,3,On,HVAC,5,10.5,1.2,1,7.586270556,4.754228928,1.336093334,Monitor Device
20-06-2024 02:07,B2,R7,20.2,60.7,25.3,73.6,5,On,None,1,8.6,4.9,0,23.93025208,0.87478477,4.169382515,Adjust Temperature
14-06-2024 17:59,B2,R2,22,42.5,10.9,61,5,Malfunction,None,5,20.2,1.7,1,9.97628463,5.610731102,1.672024543,Monitor Device
23-05-2024 02:45,B2,R9,20.2,33.7,41.8,462.8,0,On,None,5,23,4,3,39.04004634,4.532398023,4.084869455,Monitor Device
23-07-2024 09:00,B2,R6,28.3,64.3,22,69.4,5,Off,HVAC,2,3.9,3.5,0,22.8979444,1.607100952,3.194631266,Adjust Temperature
03-02-2024 17:26,B2,R6,25.1,44.2,40.5,434.6,0,Off,Plumbing,3,16.7,1.9,1,40.89645173,2.438183153,1.530116653,No Action
18-06-2024 03:57,B1,R7,28.2,66.8,23.9,293.4,5,Malfunction,None,2,16.5,1.7,0,21.77808327,1.815755856,1.395774381,No Action
12-03-2024 15:37,B3,R7,22.2,58.7,8.1,350.1,1,Off,HVAC,3,16.2,4.6,1,8.830007489,3.123435168,4.763295986,Increase Maintenance
20-05-2024 22:38,B1,R3,21.1,38.8,13,411,3,On,Plumbing,3,19.5,3.2,1,13.0934903,2.765867471,2.621816163,Monitor Device
19-02-2024 12:32,B2,R7,22.6,54.2,48.5,453,4,On,None,1,10.5,1.5,2,51.06852991,0.860105864,1.796395868,Increase Maintenance
04-04-2024 22:21,B3,R7,20.3,41.5,5.6,123,3,On,HVAC,5,19.8,4.3,1,5.582459773,5.475367943,4.078388036,Increase Maintenance
20-02-2024 10:07,B3,R1,21.2,62,6.7,330.1,0,Off,Plumbing,1,6.9,1.7,2,6.084010687,0.875489981,1.688824664,Adjust Temperature
11-03-2024 17:37,B1,R9,23.7,61.3,13.4,80.1,2,Malfunction,None,1,21.6,1.5,0,13.61531681,0.833966276,1.224575432,Increase Maintenance
05-04-2024 21:24,B3,R9,21.3,43.3,32.1,266.9,2,On,Plumbing,2,1.6,3.7,2,29.30871377,1.822539032,3.21287849,Increase Maintenance
11-04-2024 00:34,B1,R9,23,36.5,49.7,283.5,2,On,Electrical,4,14.2,2.6,3,51.26822853,4.474107096,3.092908175,No Action
27-02-2024 05:59,B2,R9,23.9,60.8,32.7,489.2,1,On,Electrical,5,2,3.7,2,31.33185038,5.404805023,3.783523752,Increase Maintenance
16-06-2024 14:12,B1,R10,24.3,46.1,21.2,461,0,Off,HVAC,2,19.3,1.2,1,19.32979007,2.01931309,1.407519059,Monitor Device
31-07-2024 18:41,B3,R7,26.2,40.4,22.1,391.7,1,On,None,3,8.7,3.1,0,19.98789691,3.420738538,3.602045718,Adjust Temperature
21-04-2024 04:21,B1,R2,23.2,51.1,41.8,335.5,2,On,Electrical,3,1.4,1.2,2,43.7169452,3.003751881,1.247033037,Increase Maintenance
22-06-2024 16:17,B1,R7,21.4,66.6,23.7,310.8,4,On,None,4,15.7,4.1,2,21.40091802,3.738165143,4.628055347,No Action
24-05-2024 11:54,B2,R6,22.7,36.6,7.4,84.5,3,Off,HVAC,5,21.2,2.3,1,7.36561208,4.821845972,2.145198748,Adjust Temperature
25-01-2024 00:44,B3,R9,23.2,52.1,13.1,234.4,4,On,Electrical,2,22,4.1,2,12.17230858,1.862103594,3.293584738,Monitor Device
